epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0009913977701216936,28.60060691833496,1.5510039329528809,17.121732711791992,0.7500827312469482
1,0.0009824552107602358,22.229467391967773,1.5031263828277588,16.351207733154297,0.7205464243888855
2,0.0009735933854244649,20.298288345336914,1.4668738842010498,16.479549407958984,0.8877705931663513
3,0.0009648114792071283,20.087003707885742,1.4275906085968018,18.58853530883789,1.2873347997665405
4,0.0009561087936162949,19.785736083984375,1.4028024673461914,18.633892059326172,1.3352326154708862
5,0.0009474846301600337,19.522640228271484,1.3542149066925049,21.735567092895508,1.2252856492996216
6,0.0009389382321387529,19.116548538208008,1.3305131196975708,16.28036880493164,0.8127470016479492
7,0.0009304689592681825,19.10427474975586,1.3112200498580933,17.28961181640625,0.9033991694450378
8,0.0009220760548487306,19.06344985961914,1.290116786956787,17.24534797668457,0.7965607643127441
9,0.000913758878596127,18.942203521728516,1.2654322385787964,17.11534309387207,0.7806654572486877
10,0.00090551667381078,19.049631118774414,1.2511225938796997,16.249919891357422,0.8262986540794373
11,0.0008973488584160805,18.736495971679688,1.2356592416763306,17.95562171936035,1.0825574398040771
12,0.0008892546757124364,18.445899963378906,1.222365140914917,18.41546058654785,1.2948284149169922
13,0.0008812335436232388,18.60612678527832,1.2183384895324707,16.857532501220703,0.8272414207458496
14,0.0008732847636565566,18.398189544677734,1.2163150310516357,18.097537994384766,1.1780105829238892
