epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0009648114792071283,20.944345474243164,1.2891422510147095,16.221786499023438,1.0593421459197998
1,0.0009304689592681825,17.797338485717773,1.1933013200759888,17.60930061340332,1.1528565883636475
2,0.0008973488584160805,17.382347106933594,1.087965488433838,16.039886474609375,0.8787431716918945
3,0.0008654076373204589,16.989999771118164,0.9815672636032104,15.938799858093262,0.8099780082702637
4,0.0008346913382411003,17.012487411499023,0.9513243436813354,15.492104530334473,0.7777901291847229
5,0.0008049804600887001,16.922422409057617,0.9463323950767517,15.883723258972168,0.7245966792106628
6,0.0007763270987197757,16.64583969116211,0.9440767168998718,15.487561225891113,0.7952784895896912
7,0.0007486936519853771,16.8177490234375,0.9442490935325623,16.261655807495117,0.6893874406814575
8,0.0007220438565127552,16.841325759887695,0.9437538981437683,15.630159378051758,0.7238086462020874
9,0.00069634267129004,16.507144927978516,0.9418883919715881,15.588584899902344,0.8556103706359863
10,0.0006715562776662409,16.65951156616211,0.9423301219940186,15.674373626708984,0.7472490668296814
